Dex,Name,poke_links,Generation,Image URL
1,Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,1.0,https://img.pokemondb.net/artwork/large/bulbasaur.jpg
2,Ivysaur,https://pokemondb.net/pokedex/ivysaur,1.0,https://img.pokemondb.net/artwork/large/ivysaur.jpg
3,Venusaur,https://pokemondb.net/pokedex/venusaur,1.0,https://img.pokemondb.net/artwork/large/venusaur.jpg
4,Charmander,https://pokemondb.net/pokedex/charmander,1.0,https://img.pokemondb.net/artwork/large/charmander.jpg
5,Charmeleon,https://pokemondb.net/pokedex/charmeleon,1.0,https://img.pokemondb.net/artwork/large/charmeleon.jpg
6,Charizard,https://pokemondb.net/pokedex/charizard,1.0,https://img.pokemondb.net/artwork/large/charizard.jpg
7,Squirtle,https://pokemondb.net/pokedex/squirtle,1.0,https://img.pokemondb.net/artwork/large/squirtle.jpg
8,Wartortle,https://pokemondb.net/pokedex/wartortle,1.0,https://img.pokemondb.net/artwork/large/wartortle.jpg
9,Blastoise,https://pokemondb.net/pokedex/blastoise,1.0,https://img.pokemondb.net/artwork/large/blastoise.jpg
10,Caterpie,https://pokemondb.net/pokedex/caterpie,1.0,https://img.pokemondb.net/artwork/large/caterpie.jpg
11,Metapod,https://pokemondb.net/pokedex/metapod,1.0,https://img.pokemondb.net/artwork/large/metapod.jpg
12,Butterfree,https://pokemondb.net/pokedex/butterfree,1.0,https://img.pokemondb.net/artwork/large/butterfree.jpg
13,Weedle,https://pokemondb.net/pokedex/weedle,1.0,https://img.pokemondb.net/artwork/large/weedle.jpg
14,Kakuna,https://pokemondb.net/pokedex/kakuna,1.0,https://img.pokemondb.net/artwork/large/kakuna.jpg
15,Beedrill,https://pokemondb.net/pokedex/beedrill,1.0,https://img.pokemondb.net/artwork/large/beedrill.jpg
16,Pidgey,https://pokemondb.net/pokedex/pidgey,1.0,https://img.pokemondb.net/artwork/large/pidgey.jpg
17,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,1.0,https://img.pokemondb.net/artwork/large/pidgeotto.jpg
18,Pidgeot,https://pokemondb.net/pokedex/pidgeot,1.0,https://img.pokemondb.net/artwork/large/pidgeot.jpg
19,Rattata,https://pokemondb.net/pokedex/rattata,1.0,https://img.pokemondb.net/artwork/large/rattata.jpg
20,Raticate,https://pokemondb.net/pokedex/raticate,1.0,https://img.pokemondb.net/artwork/large/raticate.jpg
21,Spearow,https://pokemondb.net/pokedex/spearow,1.0,https://img.pokemondb.net/artwork/large/spearow.jpg
22,Fearow,https://pokemondb.net/pokedex/fearow,1.0,https://img.pokemondb.net/artwork/large/fearow.jpg
23,Ekans,https://pokemondb.net/pokedex/ekans,1.0,https://img.pokemondb.net/artwork/large/ekans.jpg
24,Arbok,https://pokemondb.net/pokedex/arbok,1.0,https://img.pokemondb.net/artwork/large/arbok.jpg
25,Pikachu,https://pokemondb.net/pokedex/pikachu,1.0,https://img.pokemondb.net/artwork/large/pikachu.jpg
26,Raichu,https://pokemondb.net/pokedex/raichu,1.0,https://img.pokemondb.net/artwork/large/raichu.jpg
27,Sandshrew,https://pokemondb.net/pokedex/sandshrew,1.0,https://img.pokemondb.net/artwork/large/sandshrew.jpg
28,Sandslash,https://pokemondb.net/pokedex/sandslash,1.0,https://img.pokemondb.net/artwork/large/sandslash.jpg
29,Nidoran♀,https://pokemondb.net/pokedex/nidoran-f,1.0,https://img.pokemondb.net/artwork/large/nidoran-f.jpg
30,Nidorina,https://pokemondb.net/pokedex/nidorina,1.0,https://img.pokemondb.net/artwork/large/nidorina.jpg
31,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen,1.0,https://img.pokemondb.net/artwork/large/nidoqueen.jpg
